"Notes"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Year"	"Year Code"	"Abnormal Conditions Checked"	"Abnormal Conditions Checked Code"	Births
	"43 prenatal visits"	"43"	"2020"	"2020"	"At least one checked"	"0"	13
	"43 prenatal visits"	"43"	"2020"	"2020"	"None checked"	"1"	72
	"43 prenatal visits"	"43"	"2021"	"2021"	"At least one checked"	"0"	14
	"43 prenatal visits"	"43"	"2021"	"2021"	"None checked"	"1"	72
	"44 prenatal visits"	"44"	"2018"	"2018"	"At least one checked"	"0"	11
	"44 prenatal visits"	"44"	"2018"	"2018"	"None checked"	"1"	70
	"44 prenatal visits"	"44"	"2019"	"2019"	"At least one checked"	"0"	12
	"44 prenatal visits"	"44"	"2019"	"2019"	"None checked"	"1"	77
	"44 prenatal visits"	"44"	"2020"	"2020"	"At least one checked"	"0"	18
	"44 prenatal visits"	"44"	"2020"	"2020"	"None checked"	"1"	67
	"44 prenatal visits"	"44"	"2021"	"2021"	"At least one checked"	"0"	25
	"44 prenatal visits"	"44"	"2021"	"2021"	"None checked"	"1"	84
	"45 prenatal visits"	"45"	"2018"	"2018"	"At least one checked"	"0"	44
	"45 prenatal visits"	"45"	"2018"	"2018"	"None checked"	"1"	138
	"45 prenatal visits"	"45"	"2019"	"2019"	"At least one checked"	"0"	35
	"45 prenatal visits"	"45"	"2019"	"2019"	"None checked"	"1"	135
	"45 prenatal visits"	"45"	"2020"	"2020"	"At least one checked"	"0"	23
	"45 prenatal visits"	"45"	"2020"	"2020"	"None checked"	"1"	91
	"45 prenatal visits"	"45"	"2021"	"2021"	"At least one checked"	"0"	46
	"45 prenatal visits"	"45"	"2021"	"2021"	"None checked"	"1"	103
	"46 prenatal visits"	"46"	"2018"	"2018"	"At least one checked"	"0"	12
	"46 prenatal visits"	"46"	"2018"	"2018"	"None checked"	"1"	45
	"46 prenatal visits"	"46"	"2019"	"2019"	"At least one checked"	"0"	13
	"46 prenatal visits"	"46"	"2019"	"2019"	"None checked"	"1"	57
	"46 prenatal visits"	"46"	"2020"	"2020"	"At least one checked"	"0"	13
	"46 prenatal visits"	"46"	"2020"	"2020"	"None checked"	"1"	28
	"46 prenatal visits"	"46"	"2021"	"2021"	"At least one checked"	"0"	14
	"46 prenatal visits"	"46"	"2021"	"2021"	"None checked"	"1"	52
	"47 prenatal visits"	"47"	"2018"	"2018"	"None checked"	"1"	37
	"47 prenatal visits"	"47"	"2019"	"2019"	"At least one checked"	"0"	16
	"47 prenatal visits"	"47"	"2019"	"2019"	"None checked"	"1"	42
	"47 prenatal visits"	"47"	"2020"	"2020"	"None checked"	"1"	33
	"47 prenatal visits"	"47"	"2021"	"2021"	"At least one checked"	"0"	16
	"47 prenatal visits"	"47"	"2021"	"2021"	"None checked"	"1"	36
	"48 prenatal visits"	"48"	"2018"	"2018"	"At least one checked"	"0"	12
	"48 prenatal visits"	"48"	"2018"	"2018"	"None checked"	"1"	60
	"48 prenatal visits"	"48"	"2019"	"2019"	"At least one checked"	"0"	17
	"48 prenatal visits"	"48"	"2019"	"2019"	"None checked"	"1"	45
	"48 prenatal visits"	"48"	"2020"	"2020"	"At least one checked"	"0"	13
	"48 prenatal visits"	"48"	"2020"	"2020"	"None checked"	"1"	43
	"48 prenatal visits"	"48"	"2021"	"2021"	"At least one checked"	"0"	18
	"48 prenatal visits"	"48"	"2021"	"2021"	"None checked"	"1"	56
	"49 prenatal visits"	"49"	"2018"	"2018"	"At least one checked"	"0"	72
	"49 prenatal visits"	"49"	"2018"	"2018"	"None checked"	"1"	225
	"49 prenatal visits"	"49"	"2019"	"2019"	"At least one checked"	"0"	25
	"49 prenatal visits"	"49"	"2019"	"2019"	"None checked"	"1"	78
	"49 prenatal visits"	"49"	"2020"	"2020"	"At least one checked"	"0"	16
	"49 prenatal visits"	"49"	"2020"	"2020"	"None checked"	"1"	45
	"49 prenatal visits"	"49"	"2021"	"2021"	"At least one checked"	"0"	18
	"49 prenatal visits"	"49"	"2021"	"2021"	"None checked"	"1"	29
	"50 prenatal visits"	"50"	"2018"	"2018"	"At least one checked"	"0"	32
	"50 prenatal visits"	"50"	"2018"	"2018"	"None checked"	"1"	61
	"50 prenatal visits"	"50"	"2019"	"2019"	"At least one checked"	"0"	48
	"50 prenatal visits"	"50"	"2019"	"2019"	"None checked"	"1"	114
	"50 prenatal visits"	"50"	"2020"	"2020"	"At least one checked"	"0"	30
	"50 prenatal visits"	"50"	"2020"	"2020"	"None checked"	"1"	79
	"50 prenatal visits"	"50"	"2021"	"2021"	"At least one checked"	"0"	27
	"50 prenatal visits"	"50"	"2021"	"2021"	"None checked"	"1"	75
	"51 prenatal visits"	"51"	"2018"	"2018"	"None checked"	"1"	10
	"51 prenatal visits"	"51"	"2019"	"2019"	"None checked"	"1"	20
	"52 prenatal visits"	"52"	"2018"	"2018"	"None checked"	"1"	11
	"52 prenatal visits"	"52"	"2019"	"2019"	"None checked"	"1"	16
	"53 prenatal visits"	"53"	"2019"	"2019"	"None checked"	"1"	10
	"54 prenatal visits"	"54"	"2019"	"2019"	"None checked"	"1"	14
	"55 prenatal visits"	"55"	"2019"	"2019"	"None checked"	"1"	20
	"55 prenatal visits"	"55"	"2020"	"2020"	"None checked"	"1"	10
	"55 prenatal visits"	"55"	"2021"	"2021"	"None checked"	"1"	10
	"56 prenatal visits"	"56"	"2019"	"2019"	"None checked"	"1"	15
	"60 prenatal visits"	"60"	"2018"	"2018"	"At least one checked"	"0"	15
	"60 prenatal visits"	"60"	"2018"	"2018"	"None checked"	"1"	19
	"60 prenatal visits"	"60"	"2019"	"2019"	"None checked"	"1"	21
	"60 prenatal visits"	"60"	"2020"	"2020"	"None checked"	"1"	17
	"60 prenatal visits"	"60"	"2021"	"2021"	"At least one checked"	"0"	11
	"60 prenatal visits"	"60"	"2021"	"2021"	"None checked"	"1"	13
	"62 prenatal visits"	"62"	"2019"	"2019"	"None checked"	"1"	10
	"Unknown or Not Stated"	"99"	"2018"	"2018"	"At least one checked"	"0"	16180
	"Unknown or Not Stated"	"99"	"2018"	"2018"	"None checked"	"1"	78496
	"Unknown or Not Stated"	"99"	"2019"	"2019"	"At least one checked"	"0"	15204
	"Unknown or Not Stated"	"99"	"2019"	"2019"	"None checked"	"1"	76646
	"Unknown or Not Stated"	"99"	"2020"	"2020"	"At least one checked"	"0"	13219
	"Unknown or Not Stated"	"99"	"2020"	"2020"	"None checked"	"1"	69883
	"Unknown or Not Stated"	"99"	"2021"	"2021"	"At least one checked"	"0"	12912
	"Unknown or Not Stated"	"99"	"2021"	"2021"	"None checked"	"1"	59322
"---"
"Dataset: Natality, 2016-2021 expanded"
"Query Parameters:"
"Abnormal Conditions Checked: At least one checked; None checked"
"Year: 2018; 2019; 2020; 2021"
"Group By: Number of Prenatal Visits; Year; Abnormal Conditions Checked"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Mar 14, 2023 9:04:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2021, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 14, 2023 9:04:20 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
